measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,16,Philippines,3,Both,22,All Ages,973,Substance use disorders,1,Number,2017,1394029.4927147264,1585063.0018537305,1221370.0442690486
5,Prevalence,16,Philippines,3,Both,22,All Ages,973,Substance use disorders,3,Rate,2017,1283.2064058404912,1459.0530604044363,1124.27310390373
5,Prevalence,6,China,3,Both,22,All Ages,567,Depressive disorders,1,Number,2017,49303509.31885663,54757581.235452615,44322689.95413609
5,Prevalence,6,China,3,Both,22,All Ages,567,Depressive disorders,3,Rate,2017,3494.689607315858,3881.2805155048522,3141.643385854516
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All Ages,567,Depressive disorders,1,Number,2017,810976.7886863387,958358.76978969,693967.0736643123
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All Ages,567,Depressive disorders,3,Rate,2017,3109.1583002583584,3674.197788747636,2660.5613345413703
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All Ages,571,Anxiety disorders,1,Number,2017,982221.7116461092,1223347.3789559405,785931.1496093863
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All Ages,571,Anxiety disorders,3,Rate,2017,3765.6845794628803,4690.122714290507,3013.1372331850075
5,Prevalence,17,Sri Lanka,3,Both,22,All Ages,567,Depressive disorders,1,Number,2017,665920.4176593118,783833.2362113228,577008.4784416592
5,Prevalence,17,Sri Lanka,3,Both,22,All Ages,567,Depressive disorders,3,Rate,2017,3082.4286850173776,3628.2264178958953,2670.870930341012
5,Prevalence,17,Sri Lanka,3,Both,22,All Ages,571,Anxiety disorders,1,Number,2017,911568.1748425997,1147741.1200495309,735614.1765548367
5,Prevalence,17,Sri Lanka,3,Both,22,All Ages,571,Anxiety disorders,3,Rate,2017,4219.489019964688,5312.692113946593,3405.0288574844685
5,Prevalence,39,Tajikistan,3,Both,22,All Ages,973,Substance use disorders,1,Number,2017,233511.39421442253,270037.7731400658,197099.35410153
5,Prevalence,39,Tajikistan,3,Both,22,All Ages,973,Substance use disorders,3,Rate,2017,2567.242325264025,2968.81615973155,2166.9255405456224
5,Prevalence,49,North Macedonia,3,Both,22,All Ages,973,Substance use disorders,1,Number,2017,50083.323722198336,58604.00790696714,42801.74403941186
5,Prevalence,49,North Macedonia,3,Both,22,All Ages,973,Substance use disorders,3,Rate,2017,2329.848379857969,2726.2258717608497,1991.1133406092174
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All Ages,973,Substance use disorders,1,Number,2017,373485.93439187284,424839.2765505985,324634.01916409435
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All Ages,973,Substance use disorders,3,Rate,2017,1431.8867187620183,1628.7674091174647,1244.5961084351782
5,Prevalence,17,Sri Lanka,3,Both,22,All Ages,973,Substance use disorders,1,Number,2017,313104.2955335802,358266.9366273476,272378.2305380677
5,Prevalence,17,Sri Lanka,3,Both,22,All Ages,973,Substance use disorders,3,Rate,2017,1449.3048063419299,1658.3547419001366,1260.7910025284025
5,Prevalence,39,Tajikistan,3,Both,22,All Ages,567,Depressive disorders,1,Number,2017,217225.15732429398,254993.2736645531,186645.31881551075
5,Prevalence,39,Tajikistan,3,Both,22,All Ages,567,Depressive disorders,3,Rate,2017,2388.190177490793,2803.4157691172786,2051.9930682079853
5,Prevalence,39,Tajikistan,3,Both,22,All Ages,571,Anxiety disorders,1,Number,2017,206340.74864351423,262780.2478861088,160501.74905499961
5,Prevalence,39,Tajikistan,3,Both,22,All Ages,571,Anxiety disorders,3,Rate,2017,2268.526146770689,2889.0263658702615,1764.5686405971996
5,Prevalence,40,Turkmenistan,3,Both,22,All Ages,567,Depressive disorders,1,Number,2017,144359.02493623423,167472.9771815579,125133.07796516136
5,Prevalence,40,Turkmenistan,3,Both,22,All Ages,567,Depressive disorders,3,Rate,2017,2903.605752928696,3368.51471682677,2516.8992740274434
5,Prevalence,40,Turkmenistan,3,Both,22,All Ages,571,Anxiety disorders,1,Number,2017,114182.2200715232,143372.96094345045,90045.92796145738
5,Prevalence,40,Turkmenistan,3,Both,22,All Ages,571,Anxiety disorders,3,Rate,2017,2296.6361211451235,2883.7722781357793,1811.1640375250583
5,Prevalence,27,Samoa,3,Both,22,All Ages,973,Substance use disorders,1,Number,2017,3212.790941030421,3854.3252387577572,2638.364520012791
5,Prevalence,27,Samoa,3,Both,22,All Ages,973,Substance use disorders,3,Rate,2017,1567.8896376683279,1880.9678914600033,1287.5610231872408
5,Prevalence,61,Republic of Moldova,3,Both,22,All Ages,567,Depressive disorders,1,Number,2017,151516.96451842232,173158.87117040288,132484.75846348738
5,Prevalence,61,Republic of Moldova,3,Both,22,All Ages,567,Depressive disorders,3,Rate,2017,4062.6451942533163,4642.932611794984,3552.33203749971
5,Prevalence,62,Russian Federation,3,Both,22,All Ages,571,Anxiety disorders,1,Number,2017,5005219.749485766,5777370.087348593,4317604.415071331
5,Prevalence,62,Russian Federation,3,Both,22,All Ages,571,Anxiety disorders,3,Rate,2017,3415.1439262611916,3941.9948276194564,2945.972650979865
5,Prevalence,62,Russian Federation,3,Both,22,All Ages,567,Depressive disorders,1,Number,2017,5503737.197739535,6120395.657546487,4914707.716887435
5,Prevalence,62,Russian Federation,3,Both,22,All Ages,567,Depressive disorders,3,Rate,2017,3755.290597286776,4176.046827580892,3353.386074687642
5,Prevalence,28,Solomon Islands,3,Both,22,All Ages,567,Depressive disorders,1,Number,2017,15377.7117310122,18067.789950420425,13088.028859233214
5,Prevalence,28,Solomon Islands,3,Both,22,All Ages,567,Depressive disorders,3,Rate,2017,2430.6154644301996,2855.8117377765266,2068.7060533203958
5,Prevalence,40,Turkmenistan,3,Both,22,All Ages,973,Substance use disorders,1,Number,2017,153866.86708762223,182949.60766567092,130437.42761957122
5,Prevalence,40,Turkmenistan,3,Both,22,All Ages,973,Substance use disorders,3,Rate,2017,3094.8444037917266,3679.8082665682714,2623.5897991185693
5,Prevalence,71,Australia,3,Both,22,All Ages,973,Substance use disorders,1,Number,2017,950345.7351844348,1040521.51009356,854985.5962392347
5,Prevalence,71,Australia,3,Both,22,All Ages,973,Substance use disorders,3,Rate,2017,3969.1096366298348,4345.727875583588,3570.8389521569898
